Timestamp,Average Bikes in Use,Average Temperature,Average Wind Speed,Normalised Average Bikes in Use,Normalised Average Temperature,Normalised Average Wind Speed
2019-01-03 00:40:03,15.76,3.91,2.1,0.04264523716265348,0.02149190540754658,0.02374735721529051
2019-01-03 01:00:03,15.76,3.91,2.1,0.04264523716265348,0.02149190540754658,0.02374735721529051
2019-01-03 01:20:04,15.78,3.69,1.5,0.04269935548392589,0.02028264218768462,0.01696239801092179
2019-01-03 01:40:03,15.78,3.69,1.5,0.04269935548392589,0.02028264218768462,0.01696239801092179
2019-01-03 02:00:03,15.78,3.69,1.5,0.04269935548392589,0.02028264218768462,0.01696239801092179
2019-01-03 02:20:03,15.8,3.66,1.0,0.04275347380519829,0.020117742657703448,0.011308265340614528
2019-01-03 02:40:03,15.8,3.66,1.0,0.04275347380519829,0.020117742657703448,0.011308265340614528
2019-01-03 03:00:03,15.83,3.65,1.5,0.042834651287106895,0.02006277614770972,0.01696239801092179
2019-01-03 03:20:04,15.78,3.66,1.5,0.04269935548392589,0.020117742657703448,0.01696239801092179
2019-01-03 03:40:03,15.83,3.44,1.0,0.042834651287106895,0.01890847943784149,0.011308265340614528
2019-01-03 04:00:03,15.83,3.44,1.0,0.042834651287106895,0.01890847943784149,0.011308265340614528
2019-01-03 04:20:03,15.89,3.26,1.0,0.042997006250924105,0.017919082257954435,0.011308265340614528
2019-01-03 04:40:03,15.93,3.56,1.5,0.043105242893468905,0.019568077557766194,0.01696239801092179
2019-01-03 05:00:03,15.93,3.5,1.25,0.043105242893468905,0.01923827849780384,0.01413533167576816
2019-01-03 05:20:03,15.91,3.44,1.0,0.0430511245721965,0.01890847943784149,0.011308265340614528
2019-01-03 05:40:04,15.91,3.44,1.0,0.0430511245721965,0.01890847943784149,0.011308265340614528
2019-01-03 06:00:03,15.91,3.44,1.0,0.0430511245721965,0.01890847943784149,0.011308265340614528
2019-01-03 06:20:03,15.96,3.54,1.5,0.04318642037537752,0.019458144537778742,0.01696239801092179
2019-01-03 06:40:03,16.17,3.4,2.1,0.043754662748737745,0.01868861339786659,0.02374735721529051
2019-01-03 07:00:04,16.17,3.4,2.1,0.043754662748737745,0.01868861339786659,0.02374735721529051
2019-01-03 07:20:03,16.17,3.4,2.1,0.043754662748737745,0.01868861339786659,0.02374735721529051
2019-01-03 07:40:03,16.63,3.35,1.5,0.04499938413800301,0.018413780847897965,0.01696239801092179
2019-01-03 08:00:03,17.37,3.48,1.5,0.04700176202508192,0.019128345477816392,0.01696239801092179
2019-01-03 08:20:03,16.74,3.58,1.54,0.04529703490500122,0.019678010577753643,0.017414728624546374
2019-01-03 08:40:04,16.5,3.35,1.0,0.044647615049732386,0.018413780847897965,0.011308265340614528
2019-01-03 09:00:04,16.5,3.35,1.0,0.044647615049732386,0.018413780847897965,0.011308265340614528
2019-01-03 09:20:04,13.78,3.48,1.5,0.037287523356685594,0.019128345477816392,0.01696239801092179
